title;type;year;filename;book;word_count;char_count;source
tagebuch_072;diary;1921;tagebuch_72_diaries.txt;tagebuecher;2098;11677;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
die_acht_oktavenhefte_05;fiction;1917;oktavenhefte_05_fiction.txt;notizen;2092;11508;https://www.projekt-gutenberg.org/kafka/oktavhef/oktavhef.html
die_verwandlung_07;fiction;1912;die_verwandlung_07_fiction.txt;die_verwandlung;2087;11298;https://www.projekt-gutenberg.org/kafka/verwandl/
der_prozess_03;fiction;1914;der_prozess_03_fiction.txt;der_prozess;2078;10431;https://www.projekt-gutenberg.org/kafka/prozess/
das_schloss_43;fiction;1922;das_schloss_43_fiction.txt;das_schloss;2076;10643;https://www.projekt-gutenberg.org/kafka/schloss/
die_verwandlung_05;fiction;1912;die_verwandlung_05_fiction.txt;die_verwandlung;2075;10974;https://www.projekt-gutenberg.org/kafka/verwandl/
amerika_17;fiction;1913;amerika_17_fiction.txt;amerika;2073;10655;https://www.projekt-gutenberg.org/kafka/amerika/
amerika_27;fiction;1913;amerika_27_fiction.txt;amerika;2071;11393;https://www.projekt-gutenberg.org/kafka/amerika/
amerika_18;fiction;1913;amerika_18_fiction.txt;amerika;2068;11375;https://www.projekt-gutenberg.org/kafka/amerika/
das_schloss_25;fiction;1922;das_schloss_25_fiction.txt;das_schloss;2060;10810;https://www.projekt-gutenberg.org/kafka/schloss/
tagebuch_058;diary;1914;tagebuch_58_diaries.txt;tagebuecher;2049;10672;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
der_prozess_14;fiction;1914;der_prozess_14_fiction.txt;der_prozess;2034;10415;https://www.projekt-gutenberg.org/kafka/prozess/
die_acht_oktavenhefte_13;fiction;1918;oktavenhefte_13_fiction.txt;notizen;2034;10352;https://www.projekt-gutenberg.org/kafka/oktavhef/oktavhef.html
josephine_die_saengerin_02;fiction;1924;josephine_02_fiction.txt;magazine;2032;11264;https://www.projekt-gutenberg.org/kafka/misc/chap031.html
